from	to	label	distance	angle
1935	3860	1	0.550878691	-1.93142468
4547	3822	2	0.172744008	-2.99511878
346	3437	3	0.453788806	-2.50489536
4498	4876	4	0.487467677	-0.576642837
3360	3341	5	0.0723881278	1.39307734
4268	540	6	0.786542524	1.8841775
1205	4863	7	0.252247968	-2.93699362
118	3825	8	0.411701247	-1.4357734
2598	1130	9	0.411414236	-2.64588536
1203	3737	10	0.290057404	0.64082061
2261	4648	11	0.422817402	-2.48242776
159	3236	12	0.433024009	2.89723312
1324	2367	13	0.506042389	-0.346685846
4286	4059	14	0.364559868	1.19666389
2195	1363	15	0.407236878	-0.361015834
3563	1225	16	0.336390378	-2.38378578
880	2933	17	0.449388433	1.99818126
778	4310	18	0.382491015	-1.48115798
1951	4794	19	0.722689953	-1.7624494
1135	269	20	0.397555225	-3.03867478
1466	4912	21	0.666107946	-2.45800304
3657	4459	22	0.608812068	-2.35158936
465	3008	23	0.438794804	0.388120651
1345	2033	24	0.384854032	-2.6262002
1216	4049	25	0.788950092	2.94311843
4055	129	26	0.42910076	2.61488394
3840	2908	27	0.519848676	0.420229987
4434	3580	28	0.580753682	0.652651841
325	3886	29	0.35948081	2.59279948
692	3317	30	0.319747845	-0.771309702
4801	113	31	0.624055614	1.91164815
1969	3686	32	0.507666982	2.50888595
4852	259	33	0.104532626	2.48414285
3732	3636	34	0.671477825	1.06718582
2816	826	35	0.424473851	-2.55281683
4611	3208	36	0.101678548	-2.77345294
2159	2999	37	0.395439243	-1.13313095
4410	2859	38	0.410318628	-1.28743229
370	4082	39	0.757279432	0.535413013
1516	897	40	0.108367868	1.06493023
3205	2623	41	0.367121079	-1.2987582
4477	3750	42	0.410909307	0.978581226
2505	1513	43	0.458412441	-1.05270098
829	149	44	0.558492335	-2.91239403
997	418	45	0.308973344	1.70702199
1026	3229	46	0.273252938	-1.93223284
3703	533	47	0.2244341	-2.87363146
3324	3658	48	0.316269951	-0.432384824
910	3610	49	0.540268696	0.0676514319
144	3871	50	0.763085252	-2.27746928
3785	3104	51	0.499368045	-1.61570085
3590	817	52	0.250188424	2.07810931
1132	3211	53	0.266996492	-0.468272399
2723	1959	54	0.280819806	1.00252939
2668	3837	55	0.619750941	0.0604887357
4181	2647	56	0.399129008	-0.0575065051
2405	1386	57	0.521626082	-3.13289632
3205	1799	58	0.484265313	1.40131265
3675	3863	59	0.307182005	2.79278148
4942	4051	60	0.204518146	-0.980299533
3836	2791	61	0.631173513	0.52146086
228	2799	62	0.319043497	-0.0857266165
2091	1107	63	0.456154598	2.26314172
1208	244	64	0.412193034	-0.421614166
3826	89	65	0.168564299	0.580349167
2463	3826	66	0.528487379	-1.15912304
2955	4335	67	0.227330558	-0.810715452
1735	1656	68	0.471407799	-1.12642497
4469	1126	69	0.542825107	0.497045322
3082	3394	70	0.341722923	3.09825087
3766	1241	71	0.506861206	-0.504795928
2624	3574	72	0.392009298	1.83573782
3042	4710	73	0.150010075	-0.995394137
1961	1392	74	0.185764189	0.804049746
3136	2207	75	0.205511097	-2.50166416
1010	4937	76	0.195355606	-1.3954639
4733	3404	77	0.0543546453	-1.88747693
1603	4541	78	0.309253678	1.15592824
425	197	79	0.572366359	-1.82618401
1936	4744	80	0.35043371	-3.10827543
1076	4556	81	0.273999263	2.80129231
3690	3485	82	0.441814817	-0.75817644
4571	4396	83	0.687926251	2.73396018
2831	2424	84	0.121590761	1.78041206
3135	48	85	0.267188296	1.01048439
3931	4699	86	0.123143445	-2.5838326
183	4977	87	0.0514175809	-2.87430371
4977	2198	88	0.428177877	0.705667577
529	4570	89	0.730138015	0.87650044
295	2872	90	0.558966464	-1.17028315
1640	1270	91	0.439750789	3.04803289
4008	785	92	0.519542696	2.76283844
1654	2980	93	0.486318823	-1.84108202
4474	4720	94	0.109184011	1.65117058
1961	2047	95	0.0587004331	-1.65801717
2371	3814	96	0.0898833487	0.368837822
4130	4478	97	0.122483079	-2.90534206
2906	2230	98	0.421341166	2.80789874
3833	2456	99	0.316977111	-2.97481177
4737	263	100	0.251412095	3.05225304
3946	1461	101	0.0865660459	-1.87577321
2174	305	102	0.489564237	3.03225841
3020	426	103	0.198778899	2.68394869
2241	3719	104	0.439583206	0.800480252
1517	4504	105	0.130231344	-0.262404831
737	2530	106	0.281629806	-0.190707114
1603	4640	107	0.615092267	-1.93865197
135	1138	108	0.203946503	2.80019811
4097	158	109	0.678096492	0.384153992
3599	718	110	0.314487314	-1.81470211
3333	969	111	0.445853067	-2.09976903
4783	4255	112	0.29785587	0.822212414
1739	4805	113	0.703949358	0.690336248
372	2503	114	0.244660689	-0.304335951
3079	355	115	0.521004594	-2.35609108
56	198	116	0.602711406	0.0695275653
4271	872	117	0.477591268	0.276206581
2156	1292	118	0.484574268	1.36476918
1531	1537	119	0.162964139	1.07022217
4458	2908	120	0.38127682	-1.95292486
116	3377	121	0.240936688	-2.04271028
3074	4506	122	0.388084522	-2.13344307
4522	1567	123	0.328407786	-1.57395357
1855	3609	124	0.537641244	-2.61184932
1883	3858	125	0.21582839	-0.527094981
4873	866	126	0.404535551	1.00312239
4053	3065	127	0.226101073	0.0478862538
887	1870	128	0.256876516	0.294609345
4829	3283	129	0.74604097	1.45606405
1718	2375	130	0.439953692	-1.92664988
451	979	131	0.777690919	-1.44808963
4491	2833	132	0.18897094	-3.09756707
3936	2238	133	0.416944783	0.365705816
4820	2621	134	0.112904662	0.493503814
2224	190	135	0.584713246	-1.17805766
434	2931	136	0.663708052	-1.49396736
4897	3425	137	0.253873074	1.0426723
50	4394	138	0.511420963	1.41952201
403	4073	139	0.469671816	-2.1711579
2892	4694	140	0.574276965	-0.188811956
2854	2763	141	0.355057033	-1.93672124
4967	1089	142	0.61799497	-0.344838559
900	1620	143	0.233747269	-1.52668564
4689	4774	144	0.189806745	1.35601608
1302	4475	145	0.213134089	-0.0428146039
2132	1691	146	0.474902174	-1.70744593
1903	2239	147	0.611585416	1.67876532
2551	72	148	0.209143572	-2.60287425
2481	1201	149	0.158390581	-1.1820894
87	2735	150	0.290059176	2.11619253
668	4954	151	0.717535687	1.55544249
1856	4057	152	0.55913932	-1.50483175
738	1593	153	0.657931781	1.81646568
738	2217	154	0.747200535	1.85495631
1070	2478	155	0.672252868	1.69992407
1416	366	156	0.683305386	-1.2160359
3785	1923	157	0.538131662	-1.2535535
1516	294	158	0.341796443	-0.426576693
4477	4224	159	0.0325720073	0.857786443
3522	2135	160	0.403800213	-0.582681596
2306	3720	161	0.255838386	-2.38889436
664	136	162	0.437474636	-1.34903959
3720	1590	163	0.336985363	-1.44193207
1462	664	164	0.162785498	-0.178850064
2200	2370	165	0.165764148	1.91862949
2067	4224	166	0.231504572	1.78084713
2067	477	167	0.345407066	-1.40526268
4614	94	168	0.550405831	-1.30765277
4976	2067	169	0.401277141	-2.21492766
1578	228	170	0.236566072	-0.634648944
2641	1037	171	0.190300978	1.67138589
3518	1513	172	0.484514534	-0.299545303
1416	2731	173	0.658029226	-1.25845366
2687	2135	174	0.390360901	-1.53332741
4057	2128	175	0.707883553	1.88372275
454	1698	176	0.0660824177	1.02920282
4057	4394	177	0.738458527	-1.44043512
3712	1518	178	0.194076888	1.02207085
4835	3951	179	0.516361073	2.29321501
859	1212	180	0.267404847	-0.394991707
1644	199	181	0.419665369	1.33778237
424	3180	182	0.244474483	0.226141451
3337	3836	183	0.223966464	0.221965174
4078	1652	184	0.44688744	-0.557337919
3492	3971	185	0.21875951	2.58638124
711	610	186	0.189154439	-3.00903862
267	2905	187	0.584504129	2.07070443
4596	4897	188	0.246211611	-0.138377606
3703	3179	189	0.490807844	2.90330298
2825	570	190	0.196009321	2.0149216
3624	1777	191	0.381761586	0.339433928
3303	4622	192	0.176872537	2.56209897
3779	3425	193	0.267392342	2.60531153
1091	1357	194	0.418476601	-0.576898326
69	1037	195	0.225896897	2.37988181
86	760	196	0	0
2380	1214	197	0.215018442	2.12167717
1336	2290	198	0.156542838	2.77294128
4417	431	199	0.161581058	1.59538461
3564	3240	200	0.333086819	0.161983283
4165	4610	201	0.350019256	-2.27055813
3960	689	202	0.425450049	-2.61520838
370	4294	203	0.15110295	-2.38373514
2146	430	204	0.399375528	-0.73096159
1880	4388	205	0.779974809	3.09206819
2638	2030	206	0.458761053	0.105942122
2996	2537	207	0.0566451648	-1.76625069
4176	2601	208	0.300610405	3.12834094
3753	2408	209	0.279677432	0.0985493086
3048	3378	210	0.458719877	-0.094567733
2923	2354	211	0.359823436	1.95163714
4020	2603	212	0.492672406	2.68110602
1463	1073	213	0.11284787	-2.7615414
2018	4791	214	0.114097555	2.60254411
4985	684	215	0.449814302	2.80254495
2937	4416	216	0.612668495	2.9259622
2635	981	217	0.242577804	1.77412444
3646	4532	218	0.511318205	2.01269879
2613	3805	219	0.425107211	1.77857846
3735	4766	220	0.555883899	1.36428603
3805	4241	221	0.434790367	-2.97262899
1418	1120	222	0.477255253	-2.1046788
4766	2893	223	0.602962446	1.84275848
480	657	224	0.593900016	0.495001971
1466	1674	225	0.812285386	-3.06635812
2942	4544	226	0.299821181	1.73564254
2926	1418	227	0.620817643	-2.40471201
1065	3366	228	0.651407254	-0.611320769
559	4775	229	0.513118537	2.05132658
3406	3022	230	0.441577704	-2.1724337
1766	840	231	0.380048953	-2.41387295
3412	1822	232	0.870109366	0.299810233
3453	1808	233	0.544566972	-1.65156037
4459	3406	234	0.305545452	1.58372534
876	3787	235	0.352338101	2.3629792
2599	1822	236	0.519099456	-0.833998419
4818	2358	237	0.465050499	2.66863512
4304	3504	238	0.0640735468	-2.38320473
4422	4020	239	0.579838963	-3.1247231
4201	789	240	0.182435122	1.90399787
840	1728	241	0.415282785	-2.90245139
4302	2387	242	0.707941919	0.44814899
3378	3048	243	0.458719877	3.04702492
4188	689	244	0.313168039	0.131567353
183	4763	245	0.38879806	0.591007055
4798	3898	246	0.557173635	0.550194995
4017	2198	247	0.480057444	-2.78609487
2924	3864	248	0.130889676	-0.629238371
4994	1308	249	0.271663773	2.97598488
494	3654	250	0.29845985	0.996930816
1496	4754	251	0.452132117	-0.152522651
