from	to	label	distance	angle
1	140	1	0.48261897	2.583857
1	336	2	0.35887022	2.2368895
1	386	3	0.34066084	0.57368583
1	448	4	0.57605344	-0.34539074
2	32	5	0.49697614	-2.312994
2	89	6	0.59321854	2.1824968
2	119	7	0.64623565	-1.370104
2	190	8	0.51732635	1.503792
2	330	9	0.35407966	0.13772824
3	130	10	0.84789724	-1.2734229
3	206	11	1.5891523	2.8368696
3	437	12	1.4858088	-0.011604662
4	25	13	0.71471001	2.5651874
4	48	14	0.54731309	1.6792531
4	318	15	0.69630747	-0.51689022
4	408	16	0.29847282	0.05239206
4	448	17	0.46063199	-1.4046118
5	13	18	0.5141763	0.17843544
5	147	19	0.50583751	1.8055423
5	414	20	1.1093135	2.9735686
5	430	21	1.0518603	-0.5234109
6	126	22	0.49591757	-2.905321
6	431	23	0.094043069	2.0272004
7	19	24	0.51089338	0.92071888
7	65	25	0.3494589	-0.63605776
7	92	26	0.49988293	2.2030608
7	409	27	0.58312412	-1.9568932
8	87	28	0.25305675	0.95329118
8	102	29	0.25351334	-2.7923606
8	294	30	0.73691977	0.66604573
8	433	31	0.72815119	-2.1184853
9	50	32	0.52328655	-1.4456225
9	114	33	0.42510619	1.7598892
9	253	34	0.5499639	2.5886935
9	480	35	0.41347788	-0.7949745
10	265	36	0.1806272	-2.4153831
10	375	37	0.38020778	2.6784077
10	417	38	0.30278819	0.99381913
11	13	39	0.31981673	-1.5698828
11	30	40	0.68962418	-0.43513902
11	147	41	0.62860188	3.0125583
11	372	42	0.41529253	2.339116
12	67	43	0.48586404	-1.2456006
12	229	44	0.61626549	1.8710199
12	240	45	0.45114144	-0.17723587
12	491	46	0.26497991	-1.3222068
13	71	47	0.89004874	-0.61204626
13	147	48	0.74129949	2.5705123
14	114	49	0.71033509	-0.75737641
14	250	50	0.23815405	0.58897758
14	254	51	0.68402627	3.1351567
14	267	52	0.77240017	-0.53723024
14	299	53	0.8965001	2.3382834
15	51	54	0.36097296	1.61405
15	94	55	0.43984502	2.9543701
16	34	56	0.47386373	-0.64177317
16	85	57	0.33223809	-1.9737921
16	106	58	0.46585318	3.1349282
16	182	59	0.3740621	0.79734542
16	295	60	0.36484155	1.7464966
17	195	61	0.41924479	-2.0710982
17	220	62	1.4675649	-1.0856098
17	255	63	0.88311598	1.9043678
17	351	64	0.78515929	2.1671978
17	362	65	0.51364272	-3.0363238
