label	xPos	yPos	vote	north
0	0	0	0	0
1	2.46902	-0.687629	0	0
2	1.98084	1.8533	0	0
3	-0.217318	-2.94101	0	0
4	1.48764	-2.83422	0	0
5	-2.82612	1.20051	0	0
6	1.81647	-3.08421	0	0
7	-1.99819	-1.85677	0	0
8	2.25573	1.07168	0	0
9	0.657426	-3.56903	0	0
10	-1.79535	2.11799	0	0
11	-1.06569	1.8267	0	0
12	1.80659	2.41932	0	0
13	1.81719	1.80758	0	0
14	-2.45029	1.85136	0	0
15	1.37924	-3.66082	0	0
16	2.26578	1.73093	0	0
17	-0.67559	2.26549	0	0
18	-0.953975	-1.10915	0	0
19	-2.83734	0.471374	0	0
20	1.74369	1.15727	0	0
21	1.7939	0.239948	0	0
22	-2.11638	-0.469538	0	0
23	-1.58439	-2.6708	0	0
24	0.869422	-1.24969	0	0
25	1.41704	2.21496	0	0
26	-2.29632	2.0643	0	0
27	-2.19286	-0.602189	0	0
28	1.12511	-3.40925	0	0
29	-2.18539	-2.19718	0	0
30	0.448745	2.34901	0	0
31	-1.64011	-2.13336	0	0
32	-2.58368	1.30497	0	0
33	2.35564	0.248058	0	0
34	-0.743933	-2.87137	0	0
35	-2.80737	-0.00836432	0	0
36	-2.86539	1.56249	0	0
37	-0.467294	2.43784	0	0
38	-2.66603	1.83946	0	0
39	-1.85231	1.42163	0	0
40	2.07757	-1.82763	0	0
41	2.13549	-0.917094	0	0
42	1.79005	2.28185	0	0
43	0.563904	0.95774	0	0
44	1.86263	0.982645	0	0
45	2.50251	0.479348	0	0
46	-2.49727	-1.09916	0	0
47	-1.9799	-2.11372	0	0
48	1.03836	2.61844	0	0
49	2.30437	-1.84977	0	0
50	2.36225	1.08709	0	0
