label	xPos	yPos	vote	north
0	0	0	0	0
1	-1.73398	-2.3111	0	0
2	-3.88765	0.436029	0	0
3	1.82502	-1.35932	0	0
4	0.838471	-1.84183	0	0
5	1.19535	2.23752	0	0
6	0.157425	-2.95884	0	0
7	1.82935	0.768731	0	0
8	-1.81592	-1.14081	0	0
9	2.45177	-1.24668	0	0
10	-1.19901	2.20399	0	0
11	-0.362124	1.66873	0	0
12	-1.96628	0.0879965	0	0
13	-1.22305	-0.437135	0	0
14	0.010351	2.43229	0	0
15	0.987434	-2.66905	0	0
16	-2.15801	-0.729416	0	0
17	-0.57603	1.06587	0	0
18	0.931226	0.711518	0	0
19	1.63948	2.03566	0	0
20	-0.546279	-0.551513	0	0
21	-0.0523551	-1.03466	0	0
22	1.24744	1.01369	0	0
23	1.91303	-0.594049	0	0
24	0.817345	-0.730113	0	0
25	-1.06415	0.28923	0	0
26	0.365286	2.10267	0	0
27	1.40738	1.50979	0	0
28	1.36432	-2.04444	0	0
29	2.46893	0.0979196	0	0
30	-2.57752	0.766819	0	0
31	1.44221	-0.00254604	0	0
32	0.940526	1.84161	0	0
33	-0.598825	-3.29848	0	0
34	1.72585	-0.629604	0	0
35	1.95657	2.16276	0	0
36	1.16985	2.67284	0	0
37	-1.62061	1.63821	0	0
38	0.7416	2.91874	0	0
39	0.402119	1.42222	0	0
40	0.54953	-2.86021	0	0
41	-0.316355	-2.24779	0	0
42	-2.8844	0.253432	0	0
43	-0.113439	0.121591	0	0
44	-3.02655	-0.354724	0	0
45	-1.51456	-1.74068	0	0
46	1.94064	1.53417	0	0
47	2.02279	0.24222	0	0
48	-1.96711	0.748371	0	0
49	-0.538342	-2.80849	0	0
50	-2.59875	-1.39314	0	0
