from	to	label	distance	angle
1	6	1	1.42178e-15	2.46685
1	19	2	0.115576	2.33293
2	12	3	0.0264229	-2.7594
3	15	4	0.716818	-1.54657
3	20	5	0.2523	1.59436
4	8	6	0.156961	1.97341
5	10	7	0.654062	-2.18112
5	15	8	1.06746	1.59649
5	17	9	0.668439	-0.912258
5	18	10	0.526566	-1.24858
6	19	11	0.115576	2.33293
7	21	12	0.153992	0.85488
8	16	13	0.447904	1.98359
9	21	14	0.741326	-2.29914
9	23	15	0.939445	0.808145
10	18	16	0.54284	0.0673121
10	23	17	1.11954	-2.44755
11	12	18	0.0769059	0.372619
11	18	19	0.721712	2.26897
11	19	20	0.668439	-0.912258
13	23	21	0.0553621	0.178061
14	21	22	0.153992	0.85488
16	19	23	0.908287	2.01463
16	22	24	0.121718	-1.10952
17	24	25	0.721712	-0.872624
19	24	26	0.526566	1.89301
6	1	27	1.42178e-15	-0.674741
19	1	28	0.115576	-0.808659
12	2	29	0.0264229	0.382197
15	3	30	0.716818	1.59502
20	3	31	0.2523	-1.54724
8	4	32	0.156961	-1.16818
10	5	33	0.654062	0.960473
15	5	34	1.06746	-1.5451
17	5	35	0.668439	2.22934
18	5	36	0.526566	1.89301
19	6	37	0.115576	-0.808659
21	7	38	0.153992	-2.28671
16	8	39	0.447904	-1.158
21	9	40	0.741326	0.842449
23	9	41	0.939445	-2.33345
18	10	42	0.54284	-3.07428
23	10	43	1.11954	0.694042
12	11	44	0.0769059	-2.76897
18	11	45	0.721712	-0.872624
19	11	46	0.668439	2.22934
23	13	47	0.0553621	-2.96353
21	14	48	0.153992	-2.28671
19	16	49	0.908287	-1.12696
22	16	50	0.121718	2.03207
24	17	51	0.721712	2.26897
24	19	52	0.526566	-1.24858
