from	to	label	distance	angle
41	33	1	0.8880927	2.578573
3	4	2	1.157231	-2.672259
1	41	3	1.374907	0.2443215
24	21	4	1.414217	3.09006
21	33	5	1.141726	-2.408116
44	2	6	0.9284294	2.314673
20	8	7	0.9590779	-2.360785
26	36	8	1.255089	0.0959862
21	8	9	1.143593	3.056527
5	38	10	1.055971	2.487822
8	16	11	1.0433	2.693631
39	18	12	1.562156	-1.432982
43	17	13	1.424018	1.801161
5	27	14	1.196133	-1.554212
42	2	15	0.4263374	-1.682705
24	18	16	1.670869	1.16417
5	35	17	1.134022	-0.5768602
46	47	18	1.244524	-1.832063
5	36	19	0.5298685	2.366538
7	29	20	0.9414679	-0.4977876
32	11	21	1.338623	-2.729166
15	4	22	1.039836	1.641805
28	6	23	0.8756914	-2.666733
28	15	24	0.8381445	-1.233739
9	15	25	1.046829	-2.340489
9	4	26	0.8515515	2.799748
28	34	27	2.001764	0.7745901
46	22	28	1.190337	-3.065867
50	1	29	1.427858	-1.170359
49	6	30	1.020211	0.08002174
24	43	31	1.835603	2.105402
16	42	32	0.8561185	1.646074
1	49	33	1.013714	-0.7894051
40	6	34	1.33876	-0.6624383
16	50	35	0.8103217	-1.456998
40	49	36	0.9057697	-1.528102
4	41	37	1.416581	2.910761
4	24	38	1.495299	1.483445
44	50	39	0.6963917	-2.226625
40	1	40	0.7002225	-2.873811
33	8	41	0.9094222	1.896885
25	13	42	1.095224	-1.822271
40	50	43	1.671399	2.399465
12	42	44	0.5228085	-1.826253
12	48	45	0.8556702	0.9036171
20	13	46	0.8324082	2.49037
13	20	47	0.8324082	-0.6512227
25	12	48	1.2409	-2.788609
48	30	49	0.768047	-0.8086457
17	48	50	1.664138	-2.952831
17	30	51	1.404464	-2.475511
16	13	52	1.204329	0.6488479
16	8	53	1.0433	-0.4479615
38	26	54	0.8814447	-2.681065
48	12	55	0.8556702	-2.237976
39	43	56	2.041073	-2.314261
20	21	57	0.8979103	-1.035292
26	17	58	1.683379	-2.518492
10	37	59	1.044753	-2.802718
11	37	60	1.225473	2.640389
30	2	61	1.621963	-2.440596
37	30	62	1.518951	-2.101956
26	32	63	0.8428842	-0.7799599
11	30	64	1.980026	-2.768966
5	19	65	0.6501524	-1.246561
19	32	66	1.265742	2.923384
22	11	67	2.013398	2.643495
36	26	68	1.255089	-3.045606
10	17	69	1.022677	-2.260172
27	7	70	1.250965	-1.418226
22	32	71	1.593614	1.918078
18	7	72	1.311526	-0.2068003
31	7	73	1.036469	0.7043506
31	23	74	0.6962877	-0.8073848
29	47	75	0.661757	-3.034029
34	22	76	2.197963	1.501844
38	39	77	1.336053	-1.914331
17	43	78	1.424018	-1.340432
39	5	79	1.427832	0.4458858
39	27	80	1.430972	-0.4174847
35	46	81	1.159433	-1.787959
35	27	82	1.095282	-2.586241
3	24	83	1.321551	2.321653
3	23	84	1.287327	0.9637321
24	31	85	1.298526	0.4752709
24	23	86	1.638551	0.05564097
34	23	87	0.6877176	0.6696478
34	47	88	1.483766	0.8157167
23	29	89	1.347147	0.5679827
23	47	90	0.8095841	0.9396743
9	34	91	1.500743	1.283682
33	41	92	0.8880927	-0.5630201
4	3	93	1.157231	0.4693336
41	1	94	1.374907	-2.897271
21	24	95	1.414217	-0.05153244
33	21	96	1.141726	0.7334763
2	44	97	0.9284294	-0.8269193
8	20	98	0.9590779	0.7808079
36	26	99	1.255089	-3.045606
8	21	100	1.143593	-0.08506517
38	5	101	1.055971	-0.6537704
16	8	102	1.0433	-0.4479615
18	39	103	1.562156	1.708611
17	43	104	1.424018	-1.340432
27	5	105	1.196133	1.587381
2	42	106	0.4263374	1.458888
18	24	107	1.670869	-1.977422
35	5	108	1.134022	2.564732
47	46	109	1.244524	1.309529
36	5	110	0.5298685	-0.7750548
29	7	111	0.9414679	2.643805
11	32	112	1.338623	0.4124268
4	15	113	1.039836	-1.499788
6	28	114	0.8756914	0.47486
15	28	115	0.8381445	1.907854
15	9	116	1.046829	0.8011035
4	9	117	0.8515515	-0.3418449
34	28	118	2.001764	-2.367003
22	46	119	1.190337	0.0757257
1	50	120	1.427858	1.971233
6	49	121	1.020211	-3.061571
43	24	122	1.835603	-1.036191
42	16	123	0.8561185	-1.495519
49	1	124	1.013714	2.352188
6	40	125	1.33876	2.479154
50	16	126	0.8103217	1.684595
49	40	127	0.9057697	1.61349
41	4	128	1.416581	-0.2308315
24	4	129	1.495299	-1.658148
50	44	130	0.6963917	0.9149676
1	40	131	0.7002225	0.2677819
8	33	132	0.9094222	-1.244708
13	25	133	1.095224	1.319322
50	40	134	1.671399	-0.7421272
42	12	135	0.5228085	1.31534
48	12	136	0.8556702	-2.237976
13	20	137	0.8324082	-0.6512227
20	13	138	0.8324082	2.49037
12	25	139	1.2409	0.3529839
30	48	140	0.768047	2.332947
48	17	141	1.664138	0.1887615
30	17	142	1.404464	0.6660814
13	16	143	1.204329	-2.492745
8	16	144	1.0433	2.693631
26	38	145	0.8814447	0.4605276
12	48	146	0.8556702	0.9036171
43	39	147	2.041073	0.8273315
21	20	148	0.8979103	2.106301
17	26	149	1.683379	0.623101
37	10	150	1.044753	0.3388746
37	11	151	1.225473	-0.5012035
2	30	152	1.621963	0.7009967
30	37	153	1.518951	1.039637
32	26	154	0.8428842	2.361633
30	11	155	1.980026	0.3726262
19	5	156	0.6501524	1.895032
32	19	157	1.265742	-0.2182083
11	22	158	2.013398	-0.4980981
26	36	159	1.255089	0.0959862
17	10	160	1.022677	0.8814208
7	27	161	1.250965	1.723366
32	22	162	1.593614	-1.223514
7	18	163	1.311526	2.934792
7	31	164	1.036469	-2.437242
23	31	165	0.6962877	2.334208
47	29	166	0.661757	0.1075632
22	34	167	2.197963	-1.639749
39	38	168	1.336053	1.227262
43	17	169	1.424018	1.801161
5	39	170	1.427832	-2.695707
27	39	171	1.430972	2.724108
46	35	172	1.159433	1.353634
27	35	173	1.095282	0.5553513
