from	to	label	distance	angle
18	47	1	0.4378479	2.978526
37	18	2	0.5342141	-3.086227
45	14	3	1.479742	2.401877
45	5	4	1.55915	2.205124
15	35	5	0.1139123	-0.112745
12	19	6	0.09674247	1.421105
21	25	7	0.3440275	1.990775
15	38	8	0.4183357	-1.052386
41	35	9	0.2169909	2.064557
9	21	10	0.5609698	1.630862
25	40	11	0.7189765	-3.046471
43	9	12	0.4401021	0.9476484
27	21	13	0.5214577	2.627338
7	4	14	0.1176349	-0.517483
44	11	15	0.4565979	1.807683
31	34	16	0.3759784	0.4880634
7	27	17	0.5446422	1.528499
50	48	18	0.5638647	-0.7406979
32	3	19	0.4837401	1.478854
29	28	20	0.3878257	2.135636
3	1	21	0.8771537	2.153348
45	6	22	0.2300126	0.3671928
30	37	23	0.1194884	-3.087166
36	42	24	0.7980416	3.000118
48	30	25	0.1294126	-2.679612
48	50	26	0.5638647	2.400895
20	48	27	0.436252	2.851818
48	26	28	1.035555	0.9582322
45	42	29	1.110219	1.161903
36	31	30	0.2538273	1.655867
37	50	31	0.4800952	1.9573
37	30	32	0.1194884	0.05442689
24	5	33	1.472307	-2.178846
18	45	34	0.3330435	2.720587
6	50	35	0.5103077	0.5245191
18	6	36	0.2362051	1.958414
18	50	37	0.5908529	0.9317077
45	12	38	1.29662	1.375632
42	43	39	0.6090224	1.0776
49	19	40	0.6114632	-0.8753066
12	42	41	0.3166268	-0.9273383
12	49	42	0.6795261	2.15958
15	40	43	0.7059732	1.760871
49	15	44	0.4027679	0.4855016
49	38	45	0.5901817	-0.301786
21	44	46	0.3248293	0.72514
27	44	47	0.5169208	1.991067
46	40	48	0.7134883	-2.473105
43	41	49	0.3887216	2.387826
9	35	50	0.6507915	2.987747
19	43	51	0.5003258	0.3840716
34	22	52	0.2738047	-2.368299
43	23	53	0.1302107	0.1738468
43	42	54	0.6090224	-2.063993
3	44	55	0.5974669	2.694817
11	46	56	0.432992	3.075082
23	7	57	0.534264	0.177178
20	26	58	0.9879674	1.390312
1	11	59	0.1662246	-2.957124
1	39	60	0.4616706	0.5739406
7	32	61	0.4126476	0.7334924
39	46	62	1.015011	-2.890315
3	39	63	0.9877067	1.667001
28	3	64	0.7576345	1.757842
28	13	65	1.050243	-0.1251819
34	28	66	0.4835942	0.8091452
4	28	67	0.3961468	0.1820602
29	13	68	0.8572443	0.2312289
13	39	69	2.25554	2.173062
26	8	70	1.270429	0.007169904
26	29	71	0.6915359	0.9264219
22	34	72	0.2738047	0.7732933
16	29	73	0.5271748	0.3769532
26	17	74	0.3499305	2.321809
23	31	75	0.5468591	-0.8717067
23	43	76	0.1302107	-2.967746
33	34	77	0.1244135	2.603151
31	36	78	0.2538273	-1.485725
28	34	79	0.4835942	-2.332447
4	7	80	0.1176349	2.62411
22	17	81	0.1177389	-0.7874728
22	36	82	0.2641068	-2.019522
10	8	83	1.575951	0.734872
17	26	84	0.3499305	-0.8197839
20	10	85	0.2886055	-0.2651651
2	10	86	0.9111677	0.3405433
8	13	87	0.740501	1.598568
47	18	88	0.4378479	-0.1630668
18	37	89	0.5342141	0.0553658
14	45	90	1.479742	-0.7397161
5	45	91	1.55915	-0.9364691
35	15	92	0.1139123	3.028848
19	12	93	0.09674247	-1.720488
25	21	94	0.3440275	-1.150818
38	15	95	0.4183357	2.089206
35	41	96	0.2169909	-1.077036
21	9	97	0.5609698	-1.51073
40	25	98	0.7189765	0.09512163
9	43	99	0.4401021	-2.193944
21	27	100	0.5214577	-0.5142545
4	7	101	0.1176349	2.62411
11	44	102	0.4565979	-1.333909
34	31	103	0.3759784	-2.653529
27	7	104	0.5446422	-1.613094
48	50	105	0.5638647	2.400895
3	32	106	0.4837401	-1.662739
28	29	107	0.3878257	-1.005956
1	3	108	0.8771537	-0.9882451
6	45	109	0.2300126	-2.7744
37	30	110	0.1194884	0.05442689
42	36	111	0.7980416	-0.1414746
30	48	112	0.1294126	0.461981
50	48	113	0.5638647	-0.7406979
48	20	114	0.436252	-0.2897744
26	48	115	1.035555	-2.183361
42	45	116	1.110219	-1.979689
31	36	117	0.2538273	-1.485725
50	37	118	0.4800952	-1.184293
30	37	119	0.1194884	-3.087166
5	24	120	1.472307	0.9627469
45	18	121	0.3330435	-0.4210059
50	6	122	0.5103077	-2.617074
6	18	123	0.2362051	-1.183178
50	18	124	0.5908529	-2.209885
12	45	125	1.29662	-1.765961
43	42	126	0.6090224	-2.063993
19	49	127	0.6114632	2.266286
42	12	128	0.3166268	2.214254
49	12	129	0.6795261	-0.982013
40	15	130	0.7059732	-1.380721
15	49	131	0.4027679	-2.656091
38	49	132	0.5901817	2.839807
44	21	133	0.3248293	-2.416453
44	27	134	0.5169208	-1.150525
40	46	135	0.7134883	0.668488
41	43	136	0.3887216	-0.7537667
35	9	137	0.6507915	-0.1538461
43	19	138	0.5003258	-2.757521
22	34	139	0.2738047	0.7732933
23	43	140	0.1302107	-2.967746
42	43	141	0.6090224	1.0776
44	3	142	0.5974669	-0.4467753
46	11	143	0.432992	-0.06651065
7	23	144	0.534264	-2.964415
26	20	145	0.9879674	-1.751281
11	1	146	0.1662246	0.1844689
39	1	147	0.4616706	-2.567652
32	7	148	0.4126476	-2.4081
46	39	149	1.015011	0.2512778
39	3	150	0.9877067	-1.474592
3	28	151	0.7576345	-1.383751
13	28	152	1.050243	3.016411
28	34	153	0.4835942	-2.332447
28	4	154	0.3961468	-2.959532
13	29	155	0.8572443	-2.910364
39	13	156	2.25554	-0.968531
8	26	157	1.270429	-3.134423
29	26	158	0.6915359	-2.215171
34	22	159	0.2738047	-2.368299
29	16	160	0.5271748	-2.764639
17	26	161	0.3499305	-0.8197839
31	23	162	0.5468591	2.269886
43	23	163	0.1302107	0.1738468
34	33	164	0.1244135	-0.5384419
36	31	165	0.2538273	1.655867
34	28	166	0.4835942	0.8091452
7	4	167	0.1176349	-0.517483
17	22	168	0.1177389	2.35412
36	22	169	0.2641068	1.12207
8	10	170	1.575951	-2.406721
26	17	171	0.3499305	2.321809
10	20	172	0.2886055	2.876428
10	2	173	0.9111677	-2.801049
13	8	174	0.740501	-1.543024
18	2	175	0.7323988	-0.5955878
37	2	176	0.4464265	-1.406769
45	47	177	0.1436392	-2.671803
45	14	178	1.479742	2.401877
15	40	179	0.7059732	1.760871
12	49	180	0.6795261	2.15958
21	35	181	0.7636867	-2.494783
15	41	182	0.2970513	-0.7564933
41	15	183	0.2970513	2.385099
9	35	184	0.6507915	2.987747
25	35	185	0.9053967	-2.115515
43	41	186	0.3887216	2.387826
27	9	187	0.5184319	-2.51629
7	32	188	0.4126476	0.7334924
44	25	189	0.3958775	2.889639
31	7	190	0.541461	1.243668
7	9	191	0.4645285	2.596908
50	36	192	0.8083336	0.7792165
32	27	193	0.3900561	2.38448
29	33	194	0.4429877	-2.945781
3	44	195	0.5974669	2.694817
45	42	196	1.110219	1.161903
30	2	197	0.4493381	-1.674274
36	50	198	0.8083336	-2.362376
48	2	199	0.5300625	-1.881905
48	30	200	0.1294126	-2.679612
20	2	201	0.6936485	-2.561889
48	36	202	0.9617607	1.404744
45	12	203	1.29662	1.375632
36	42	204	0.7980416	3.000118
37	18	205	0.5342141	-3.086227
37	50	206	0.4800952	1.9573
24	49	207	0.6286285	-1.639247
18	47	208	0.4378479	2.978526
6	42	209	0.9631882	1.333164
18	45	210	0.3330435	2.720587
18	6	211	0.2362051	1.958414
45	5	212	1.55915	2.205124
42	19	213	0.3906325	2.036854
49	38	214	0.5901817	-0.301786
12	19	215	0.09674247	1.421105
12	5	216	1.17557	-3.12785
15	24	217	0.539455	2.190308
49	24	218	0.6286285	1.502345
49	15	219	0.4027679	0.4855016
21	25	220	0.3440275	1.990775
27	21	221	0.5214577	2.627338
46	25	222	0.4050957	-1.175996
43	38	223	0.3109923	2.791875
9	41	224	0.547932	-2.974101
19	38	225	0.3404932	1.042236
34	16	226	0.1791223	-1.281089
43	9	227	0.4401021	0.9476484
43	31	228	0.6224302	-0.6897057
3	27	229	0.3914549	-2.563822
11	25	230	0.4420778	-2.245715
23	9	231	0.3587024	1.204141
20	48	232	0.436252	2.851818
1	44	233	0.4776599	-1.688834
1	11	234	0.1662246	-2.957124
7	27	235	0.5446422	1.528499
39	11	236	0.6186744	-2.669847
3	1	237	0.8771537	2.153348
28	32	238	0.321496	2.185076
28	3	239	0.7576345	1.757842
34	4	240	0.2838034	1.768927
4	32	241	0.3919098	1.022434
29	28	242	0.3878257	2.135636
13	3	243	1.471688	2.504417
26	29	244	0.6915359	0.9264219
26	16	245	0.3665237	1.776202
22	31	246	0.1369599	3.032226
16	33	247	0.1213643	1.094542
26	36	248	0.4480346	2.913603
23	7	249	0.534264	0.177178
23	31	250	0.5468591	-0.8717067
33	16	251	0.1213643	-2.047051
31	22	252	0.1369599	-0.1093669
28	33	253	0.4719168	-2.072433
4	34	254	0.2838034	-1.372666
22	16	255	0.2478844	0.07912593
22	17	256	0.1177389	-0.7874728
10	26	257	1.052428	1.667077
17	16	258	0.1936962	0.5608006
20	26	259	0.9879674	1.390312
2	20	260	0.6936485	0.5797032
8	29	261	1.013254	2.575137
2	18	262	0.7323988	2.546005
2	37	263	0.4464265	1.734823
47	45	264	0.1436392	0.4697898
14	45	265	1.479742	-0.7397161
40	15	266	0.7059732	-1.380721
49	12	267	0.6795261	-0.982013
35	21	268	0.7636867	0.6468097
41	15	269	0.2970513	2.385099
15	41	270	0.2970513	-0.7564933
35	9	271	0.6507915	-0.1538461
35	25	272	0.9053967	1.026078
41	43	273	0.3887216	-0.7537667
9	27	274	0.5184319	0.625303
32	7	275	0.4126476	-2.4081
25	44	276	0.3958775	-0.2519538
7	31	277	0.541461	-1.897924
9	7	278	0.4645285	-0.5446844
36	50	279	0.8083336	-2.362376
27	32	280	0.3900561	-0.7571131
33	29	281	0.4429877	0.1958112
44	3	282	0.5974669	-0.4467753
42	45	283	1.110219	-1.979689
2	30	284	0.4493381	1.467319
50	36	285	0.8083336	0.7792165
2	48	286	0.5300625	1.259687
30	48	287	0.1294126	0.461981
2	20	288	0.6936485	0.5797032
36	48	289	0.9617607	-1.736849
12	45	290	1.29662	-1.765961
42	36	291	0.7980416	-0.1414746
18	37	292	0.5342141	0.0553658
50	37	293	0.4800952	-1.184293
49	24	294	0.6286285	1.502345
47	18	295	0.4378479	-0.1630668
42	6	296	0.9631882	-1.808429
45	18	297	0.3330435	-0.4210059
6	18	298	0.2362051	-1.183178
5	45	299	1.55915	-0.9364691
19	42	300	0.3906325	-1.104739
38	49	301	0.5901817	2.839807
19	12	302	0.09674247	-1.720488
5	12	303	1.17557	0.01374238
24	15	304	0.539455	-0.9512847
24	49	305	0.6286285	-1.639247
15	49	306	0.4027679	-2.656091
25	21	307	0.3440275	-1.150818
21	27	308	0.5214577	-0.5142545
25	46	309	0.4050957	1.965597
38	43	310	0.3109923	-0.3497177
41	9	311	0.547932	0.1674919
38	19	312	0.3404932	-2.099357
16	34	313	0.1791223	1.860504
9	43	314	0.4401021	-2.193944
31	43	315	0.6224302	2.451887
27	3	316	0.3914549	0.5777709
25	11	317	0.4420778	0.8958776
9	23	318	0.3587024	-1.937452
48	20	319	0.436252	-0.2897744
44	1	320	0.4776599	1.452759
11	1	321	0.1662246	0.1844689
27	7	322	0.5446422	-1.613094
11	39	323	0.6186744	0.4717457
1	3	324	0.8771537	-0.9882451
32	28	325	0.321496	-0.9565164
3	28	326	0.7576345	-1.383751
4	34	327	0.2838034	-1.372666
32	4	328	0.3919098	-2.119159
28	29	329	0.3878257	-1.005956
3	13	330	1.471688	-0.6371759
29	26	331	0.6915359	-2.215171
16	26	332	0.3665237	-1.365391
31	22	333	0.1369599	-0.1093669
33	16	334	0.1213643	-2.047051
36	26	335	0.4480346	-0.2279901
7	23	336	0.534264	-2.964415
31	23	337	0.5468591	2.269886
16	33	338	0.1213643	1.094542
22	31	339	0.1369599	3.032226
33	28	340	0.4719168	1.069159
34	4	341	0.2838034	1.768927
16	22	342	0.2478844	-3.062467
17	22	343	0.1177389	2.35412
26	10	344	1.052428	-1.474516
16	17	345	0.1936962	-2.580792
26	20	346	0.9879674	-1.751281
20	2	347	0.6936485	-2.561889
29	8	348	1.013254	-0.5664559
47	2	349	1.144734	-0.4345685
18	2	350	0.7323988	-0.5955878
14	47	351	1.435271	-0.8334706
5	14	352	0.3087577	-2.150066
35	40	353	0.7478891	1.90677
19	49	354	0.6114632	2.266286
25	35	355	0.9053967	-2.115515
38	41	356	0.1597206	1.51602
35	15	357	0.1139123	3.028848
21	35	358	0.7636867	-2.494783
40	35	359	0.7478891	-1.234823
9	41	360	0.547932	-2.974101
21	9	361	0.5609698	-1.51073
4	32	362	0.3919098	1.022434
11	25	363	0.4420778	-2.245715
34	7	364	0.3717379	2.010076
27	9	365	0.5184319	-2.51629
48	36	366	0.9617607	1.404744
3	27	367	0.3914549	-2.563822
28	33	368	0.4719168	-2.072433
1	44	369	0.4776599	-1.688834
6	42	370	0.9631882	1.333164
37	2	371	0.4464265	-1.406769
42	50	372	0.7137041	-1.264845
30	2	373	0.4493381	-1.674274
50	30	374	0.5311989	-0.9700046
48	2	375	0.5300625	-1.881905
26	36	376	0.4480346	2.913603
42	12	377	0.3166268	2.214254
31	42	378	0.7812179	-2.960914
50	18	379	0.5908529	-2.209885
30	50	380	0.5311989	2.171588
5	49	381	0.9873207	0.6294801
45	47	382	0.1436392	-2.671803
50	42	383	0.7137041	1.876747
6	45	384	0.2300126	-2.7744
50	6	385	0.5103077	-2.617074
12	5	386	1.17557	-3.12785
43	19	387	0.5003258	-2.757521
19	38	388	0.3404932	1.042236
42	19	389	0.3906325	2.036854
49	5	390	0.9873207	-2.512113
40	24	391	0.3112693	-2.186808
15	24	392	0.539455	2.190308
38	15	393	0.4183357	2.089206
44	25	394	0.3958775	2.889639
44	21	395	0.3248293	-2.416453
40	25	396	0.7189765	0.09512163
41	38	397	0.1597206	-1.625573
35	41	398	0.2169909	-1.077036
43	38	399	0.3109923	2.791875
22	16	400	0.2478844	0.07912593
23	9	401	0.3587024	1.204141
42	31	402	0.7812179	0.180679
44	27	403	0.5169208	-1.150525
46	25	404	0.4050957	-1.175996
7	9	405	0.4645285	2.596908
26	48	406	1.035555	-2.183361
11	44	407	0.4565979	-1.333909
39	11	408	0.6186744	-2.669847
32	27	409	0.3900561	2.38448
46	11	410	0.432992	-0.06651065
39	1	411	0.4616706	-2.567652
3	32	412	0.4837401	-1.662739
13	3	413	1.471688	2.504417
28	4	414	0.3961468	-2.959532
28	32	415	0.321496	2.185076
13	28	416	1.050243	3.016411
39	3	417	0.9877067	-1.474592
8	29	418	1.013254	2.575137
29	16	419	0.5271748	-2.764639
34	31	420	0.3759784	-2.653529
29	33	421	0.4429877	-2.945781
17	36	422	0.2508951	-2.478027
31	7	423	0.541461	1.243668
43	31	424	0.6224302	-0.6897057
34	16	425	0.1791223	-1.281089
36	22	426	0.2641068	1.12207
34	33	427	0.1244135	-0.5384419
7	34	428	0.3717379	-1.131517
17	16	429	0.1936962	0.5608006
36	17	430	0.2508951	0.663566
8	26	431	1.270429	-3.134423
26	16	432	0.3665237	1.776202
10	26	433	1.052428	1.667077
10	20	434	0.2886055	2.876428
