label	xPos	yPos	vote	north
0	0	0	0	0
1	2.13301	3.27936	0	0
2	-2.79438	-1.77298	0	0
3	0.936191	2.80784	0	0
4	-0.110687	2.06533	0	0
5	1.06647	-2.96366	0	0
6	-1.25714	-2.48984	0	0
7	0.459913	1.20648	0	0
8	-2.31044	1.57149	0	0
9	1.65318	0.52336	0	0
10	-3.14076	-0.00528999	0	0
11	2.82436	2.62952	0	0
12	0.574731	-2.53977	0	0
13	-0.483738	2.68189	0	0
14	-0.23572	-3.66918	0	0
15	2.75557	-1.0855	0	0
16	-1.91154	1.33645	0	0
17	-2.16301	0.469039	0	0
18	-1.99321	-2.72228	0	0
19	0.965214	-1.8415	0	0
20	-3.3999	-0.621899	0	0
21	2.45661	1.31624	0	0
22	-1.40452	0.544353	0	0
23	0.729047	0.228588	0	0
24	2.56321	-1.82534	0	0
25	3.15998	1.37474	0	0
26	-2.59827	0.469011	0	0
27	1.47041	1.8256	0	0
28	-0.554562	2.43241	0	0
29	-1.77124	1.99186	0	0
30	-3.25119	-2.02288	0	0
31	-0.34294	0.0105764	0	0
32	0.498081	2.32738	0	0
33	-1.50218	2.3507	0	0
34	-0.800792	1.42424	0	0
35	2.78504	0.268652	0	0
36	-1.67896	-0.530175	0	0
37	-2.9105	-2.6028	0	0
38	1.89101	-1.44194	0	0
39	1.6016	2.80143	0	0
40	3.21771	-0.000939856	0	0
41	2.17283	-0.52737	0	0
42	-0.438684	-1.58879	0	0
43	0.929922	-0.722932	0	0
44	2.28653	2.36264	0	0
45	-0.500402	-2.89656	0	0
46	3.00107	1.81202	0	0
47	-1.57303	-3.14777	0	0
48	-2.79435	-0.998568	0	0
49	1.84217	-2.2415	0	0
50	-2.05172	-1.85173	0	0
