label	xPos	yPos	vote	north	
1	84.21	-86.79	-0.334732	0	
30	84.21	-86.4528	-0.477676	0.131525	
49	84.2101	-83.6946	-0.934274	0.150675	
73	84.2081	-81.0304	0.659698	0.157645	
103	83.8684	-78.2904	0.919735	0.152072	
133	82.3384	-75.9046	1.77993	0.204712	
163	80.2412	-73.8127	-3.13106	0.21197	
193	77.4631	-72.943	1.98655	0.297407	
223	74.579	-71.7373	2.0816	0.292608	
253	71.5814	-71.406	-2.63384	0.381192	
283	69.0076	-69.8143	-2.63334	0.398183	
313	66.0289	-69.4528	-2.47969	0.357498	
338	63.1039	-69.4528	-2.37036	0.333374	
362	60.224	-69.4528	-2.70629	0.39597	
385	57.299	-69.4528	-2.27129	0.297651	
415	54.4665	-69.4189	-0.736079	0.269337	
442	51.6439	-69.3196	-2.10494	0.260964	
472	48.7639	-69.3196	-2.03977	0.234816	
502	45.9739	-69.3196	-0.343357	0.269324	
524	43.094	-69.3196	-1.58862	0.159866	
550	40.3515	-69.6208	-0.621779	0.226719	
573	37.6065	-69.6208	1.23867	0.203216	
598	34.9004	-69.8912	-0.0715285	0.0873525	
624	32.2436	-70.1728	1.34138	0.149226	
649	29.6225	-70.5605	-0.984819	0.0459315	
679	27.0266	-71.1441	1.40295	-0.00500595	
704	24.3267	-71.1441	1.43553	-0.0556995	
730	21.5938	-71.2409	1.52568	-0.114458	
760	18.9709	-71.4334	1.5599	-0.268074	
790	16.3615	-71.7295	1.52511	-0.333574	
815	13.884	-72.1978	1.37575	-0.38789	
845	11.1345	-72.6607	0.975794	-0.425075	
873	8.60858	-72.9328	0.418785	-0.530913	
898	6.0983	-73.0169	-0.578666	-0.409062	
923	3.46386	-73.3537	-0.676053	-0.465032	
953	0.943891	-73.3537	-0.721344	-0.450103	
976	-1.53905	-73.4087	0.43197	-0.360451	
1000	-1.53905	-73.4087	1.4	-0.360451	
1006	-4.11062	-73.9914	-1.31579	-0.416256	
1032	-6.54485	-74.4464	-0.924421	-0.398962	
1056	-9.26701	-74.5977	-0.788687	-0.48143	
1086	-11.7158	-74.7615	-0.797693	-0.519192	
1112	-14.2962	-75.1754	2.21677	-0.519878	
1136	-17.0418	-75.65	-0.606388	-0.562049	
1162	-19.6262	-76.0533	-0.637776	-0.604824	
1192	-22.1771	-75.8543	2.26458	-0.644203	
1222	-24.7433	-75.6156	3.02881	-0.665322	
1252	-27.5066	-75.8247	3.37332	-0.612564	
1282	-30.2872	-75.7241	-2.1678	-0.551527	
1312	-32.626	-76.278	-1.96979	-0.556164	
1342	-34.8557	-76.2776	0.0482014	-0.568272	
