from	to	label	distance	angle	person	north
1	2	0	1	84	theo	0
1	3	1	1	164	theo	0
1	4	2	1	198	theo	0
1	5	3	1	254	theo	0
1	6	4	1	270	theo	0
1	7	5	1	264	theo	0
1	8	6	1	346	theo	0
6	1	7	1	110	theo	8
6	2	8	1	112	theo	8
6	3	9	1	126	theo	8
6	4	10	1	146	theo	8
6	5	11	1	224	theo	8
6	7	12	1	114	theo	8
6	8	13	1	48	theo	8
7	1	14	1	72	theo	330
7	2	15	1	80	theo	330
7	3	16	1	108	theo	330
7	4	17	1	136	theo	330
7	5	18	1	230	theo	330
7	6	19	1	286	theo	330
7	8	20	1	40	theo	330
1	2	0	1	80	jakob	0
1	3	1	1	170	jakob	0
1	4	2	1	192	jakob	0
1	5	3	1	244	jakob	0
1	6	4	1	270	jakob	0
1	7	5	1	270	jakob	0
1	8	6	1	330	jakob	0
6	1	7	1	118	jakob	18
6	2	8	1	117	jakob	18
6	3	9	1	136	jakob	18
6	4	10	1	172	jakob	18
6	5	11	1	194	jakob	18
6	7	12	1	124	jakob	18
6	8	13	1	76	jakob	18
7	1	14	1	70	jakob	350
7	2	15	1	68	jakob	350
7	3	16	1	110	jakob	350
7	4	17	1	137	jakob	350
7	5	18	1	226	jakob	350
7	6	19	1	278	jakob	350
7	8	20	1	39	jakob	350
1	2	0	1	81	ronja	0
1	3	1	1	117	ronja	0
1	4	2	1	175	ronja	0
1	5	3	1	233	ronja	0
1	6	4	1	267	ronja	0
1	7	5	1	288	ronja	0
1	8	6	1	327	ronja	0
6	1	7	1	110	ronja	357
6	2	8	1	107	ronja	357
6	3	9	1	116	ronja	357
6	4	10	1	115	ronja	357
6	5	11	1	142	ronja	357
6	7	12	1	119	ronja	357
6	8	13	1	59	ronja	357
7	1	14	1	78	ronja	334
7	2	15	1	74	ronja	334
7	3	16	1	87	ronja	334
7	4	17	1	112	ronja	334
7	5	18	1	203	ronja	334
7	6	19	1	278	ronja	334
7	8	20	1	42	ronja	334
1	2	0	1	82	helmut	0
1	3	1	1	162	helmut	0
1	4	2	1	197	helmut	0
1	5	3	1	248	helmut	0
1	6	4	1	256	helmut	0
1	7	5	1	260	helmut	0
1	8	6	1	341	helmut	0
6	1	7	1	102	helmut	90
6	2	8	1	96	helmut	90
6	3	9	1	148	helmut	90
6	4	10	1	182	helmut	90
6	5	11	1	250	helmut	90
6	7	12	1	129	helmut	90
6	8	13	1	70	helmut	90
7	1	14	1	82	helmut	0
7	2	15	1	80	helmut	0
7	3	16	1	110	helmut	0
7	4	17	1	174	helmut	0
7	5	18	1	238	helmut	0
7	6	19	1	279	helmut	0
7	8	20	1	44	helmut	0
1	2	0	1	88	leia	0
1	3	1	1	162	leia	0
1	4	2	1	170	leia	0
1	5	3	1	264	leia	0
1	6	4	1	278	leia	0
1	7	5	1	268	leia	0
1	8	6	1	340	leia	0
6	1	7	1	130	leia	42
6	2	8	1	126	leia	42
6	3	9	1	142	leia	42
6	4	10	1	150	leia	42
6	5	11	1	222	leia	42
6	7	12	1	132	leia	42
6	8	13	1	30	leia	42
7	1	14	1	76	leia	342
7	2	15	1	82	leia	342
7	3	16	1	110	leia	342
7	4	17	1	138	leia	342
7	5	18	1	210	leia	342
7	6	19	1	276	leia	342
7	8	20	1	46	leia	342
1	2	0	1	77	birgit	0
1	3	1	1	154	birgit	0
1	4	2	1	196	birgit	0
1	5	3	1	244	birgit	0
1	6	4	1	274	birgit	0
1	7	5	1	282	birgit	0
1	8	6	1	350	birgit	0
6	1	7	1	116	birgit	4
6	2	8	1	98	birgit	4
6	3	9	1	132	birgit	4
6	4	10	1	150	birgit	4
6	5	11	1	210	birgit	4
6	7	12	1	114	birgit	4
6	8	13	1	44	birgit	4
7	1	14	1	78	birgit	356
7	2	15	1	65	birgit	356
7	3	16	1	117	birgit	356
7	4	17	1	150	birgit	356
7	5	18	1	208	birgit	356
7	6	19	1	277	birgit	356
7	8	20	1	33	birgit	356
