label	xPos	yPos	vote	north	
0	84.21	-86.79	0	0	
1	84.21	-86.79	-0.334732	0	
2	84.21	-86.79	0.220493	0	
3	84.21	-86.79	-0.522376	0	
4	84.21	-86.79	2.35296	0	
5	84.21	-86.79	0.534808	0	
6	84.21	-86.79	0.22186	0	
7	84.21	-86.79	-0.589343	0	
8	84.21	-86.79	-0.566813	0	
9	84.21	-86.79	-0.180622	0	
10	84.21	-86.79	0.280269	0	
11	84.21	-86.79	0.222684	0	
12	84.21	-86.79	-0.585095	0	
13	84.21	-86.79	-1.67453	0	
14	84.21	-86.79	-0.473363	0	
15	84.21	-86.79	-0.556595	0	
16	84.21	-86.79	0.245752	0	
17	84.21	-86.79	-0.279581	0	
18	84.21	-86.79	-0.369838	0	
19	84.21	-86.79	-0.154264	0	
20	84.21	-86.79	-0.297708	0	
21	84.21	-86.79	-0.450384	0	
22	84.21	-86.79	-0.375899	0	
23	84.21	-86.79	2.29006	0	
24	84.21	-86.79	-0.386802	0	
25	84.21	-86.79	-0.39277	0	
26	84.21	-86.79	-0.196165	0	
27	84.21	-86.79	-0.86301	0	
28	84.21	-86.79	-0.463195	0	
29	84.21	-86.79	-0.448425	0	
30	84.21	-86.4528	-0.477676	0.131525	
31	84.21	-86.4528	0.108971	0.131525	
32	84.21	-86.4528	0.0907829	0.131525	
33	84.21	-86.4528	0.154381	0.131525	
34	84.21	-86.4528	-0.729328	0.131525	
35	84.21	-86.4528	-0.523108	0.131525	
36	84.21	-86.4528	-0.623017	0.131525	
37	84.21	-86.4528	0.136693	0.131525	
38	84.21	-86.4528	-1.29383	0.131525	
39	84.21	-86.4528	-0.586145	0.131525	
40	84.21	-86.4528	2.20083	0.131525	
41	84.21	-86.4528	0.339696	0.131525	
42	84.21	-86.4528	-0.809716	0.131525	
43	84.21	-86.4528	-0.610278	0.131525	
44	84.21	-86.4528	-1.28814	0.131525	
45	84.21	-86.4528	-0.120401	0.131525	
46	84.21	-86.4528	-0.769198	0.131525	
47	84.21	-86.4528	-1.8513	0.131525	
48	84.21	-86.4528	0.685744	0.131525	
49	84.2101	-83.6946	-0.934274	0.150675	
50	84.2101	-83.6946	0.512304	0.150675	
51	84.2101	-83.6946	0.505105	0.150675	
52	84.2101	-83.6946	0.514531	0.150675	
53	84.2101	-83.6946	-1.59785	0.150675	
54	84.2101	-83.6946	0.447374	0.150675	
55	84.2101	-83.6946	0.524274	0.150675	
56	84.2101	-83.6946	-0.871553	0.150675	
57	84.2101	-83.6946	-0.871838	0.150675	
58	84.2101	-83.6946	-0.632076	0.150675	
59	84.2101	-83.6946	-1.60361	0.150675	
60	84.2101	-83.6946	0.491043	0.150675	
61	84.2101	-83.6946	0.404472	0.150675	
62	84.2101	-83.6946	-0.32396	0.150675	
63	84.2101	-83.6946	-2.20012	0.150675	
64	84.2101	-83.6946	0.188375	0.150675	
65	84.2101	-83.6946	0.380371	0.150675	
66	84.2101	-83.6946	-0.997166	0.150675	
67	84.2101	-83.6946	-0.705813	0.150675	
